PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20251044;10;2025;8374103;1;1;1;60;;2;34.710194996;08;1;1104;1;2;2;12;1;;1;;2;2;1;1;36;1;;1;1;1;1;1;2;1423500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;1;210000;2;1;1361000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;7;4;;1;;1;1;1;9;1;1;1;0;48;4;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;40;3;;1;1423500;11;1104;8332
20251044;10;2025;8374103;1;2;1;60;;2;34.710194996;08;1;8610;1;2;2;12;1;;1;;1;2;1;1;96;1;;1;1;1;1;1;2;1723500;2;;1;300000;1;2;;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;1;1361500;2;;2;;2;;2;;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;53;;;10;7;;1;;1;2;1;11;1;1;1;0;36;1;;5;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;;30;3;;1;1723500;86;8610;5321
20251044;10;2025;8374103;1;3;1;60;;2;34.710194996;08;1;4330;2;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;1000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1000000;1;1000000;3;;1;2;3;40;;;40;;;1;2;;2;;2;;;;2;2;1;6;3;1;;5;;2;;;;;;;;2;;;;1;1;1;2;2;2;1;1;2;2;;1;1;2;2;1;2;2;1;2;;30;3;;1;1000000;43;4330;7121
20251044;10;2025;8374104;1;1;1;60;;2;24.380647874;08;1;5229;1;2;1;;1;;1;;1;2;1;1;84;1;;1;1;1;1;1;2;1900000;2;;2;;;2;;2;;2;;2;;2;;;1;200000;1;1;86000;1;2;;;2;;;2;;;1;1900000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;8;7;;1;;1;1;1;12;1;1;1;1;56;1;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;40;2;;1;1900000;52;5229;7543
20251044;10;2025;8374104;1;2;1;60;;2;24.380647874;08;1;7310;2;;;;;;;;;;;;60;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;250000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;250000;1;3000000;3;;1;2;12;21;2;;21;;;1;1;;5;;2;;;;2;2;1;3;12;1;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;2;1;1;1;14;;;3;;1;250000;73;7310;2166
20251044;10;2025;8374104;1;5;1;60;;2;24.380647874;08;1;2229;1;2;1;;1;;1;;1;2;1;1;36;1;;1;1;1;1;1;2;1423500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;1;1361500;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;7;7;;1;;1;2;1;3;1;1;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;;12;3;;1;1423500;22;2229;8142
20251044;10;2025;8374105;1;1;1;60;;2;113.44359465;63;1;4789;2;;;;;;;;;;;;12;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;200000;1;2400000;1;;10;1;12;48;;;48;;;1;6;;2;;2;;;;2;2;1;2;8;1;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;11;;15;3;;1;200000;47;4789;9520
20251044;10;2025;8374107;1;1;1;60;;2;174.37650303;63;1;145;1;2;1;;1;;1;;1;2;1;1;3;7;;1;1;1;1;1;2;1423500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;1;64900;2;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;44;;;44;;;10;8;;1;;1;2;1;9;1;1;1;2;24;1;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;25;8;;1;1423500;01;0145;9213
20251044;10;2025;8374108;1;1;1;60;;2;305.27164591;63;1;2393;2;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;3;3;3;;;1000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1000000;1;1000000;3;;4;2;9;40;;;40;;;1;7;;3;;2;;;;2;2;1;3;60;4;;9;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;3;3;;1;1000000;23;2393;2651
20251044;10;2025;8374108;1;2;1;60;;2;305.27164591;63;1;9321;1;2;1;;1;;1;;1;2;1;1;96;1;;1;1;1;1;1;2;1423500;2;;2;;;1;400000;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;1;1362000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;44;;;44;;;8;7;;1;;1;1;1;8;1;1;1;6;9;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;60;3;;1;1823500;93;9321;4221
