PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20251040;10;2025;8376987;1;1;1;10;54;1;599.82674687;54;1;1;2;47;10;1978;1;2;;3;;1;;2;6;;;2;1;2;1;2;1;320000;4;4;4;4;4;4;4;4;1;2;;13;6;111;10;111;1;2;1
20251040;10;2025;8376987;1;2;1;10;54;1;599.82674687;54;1;2;1;49;3;1976;2;2;;2;;2;2;2;6;;;2;1;1;1;2;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251040;10;2025;8376987;1;3;1;10;54;1;599.82674687;54;1;3;1;19;9;2006;3;1;1;1;2;2;2;2;6;;;6;;;1;2;5;;4;4;4;4;4;4;4;4;1;1;2;10;3;413;3;;2;1;1
20251040;10;2025;8376987;1;4;1;10;54;1;599.82674687;54;1;4;2;14;5;2011;3;1;1;1;2;2;2;2;6;;;6;;;1;2;5;;4;4;4;4;4;4;4;4;1;1;1;4;3;;;;;;
20251040;10;2025;8376988;1;1;1;10;54;1;410.76965856;54;1;1;2;62;10;1962;1;3;;3;;2;2;2;6;;;4;;;1;1;1;57000;4;4;4;4;4;4;4;4;1;2;;6;2;;3;;1;2;1
20251040;10;2025;8376988;1;2;1;10;54;1;410.76965856;54;1;2;1;17;3;2008;8;3;;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;;;
20251040;10;2025;8376989;1;1;1;10;54;1;400.0999717;54;1;1;1;43;5;1982;1;2;;3;;2;2;2;6;;;2;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251040;10;2025;8376989;1;2;1;10;54;1;400.0999717;54;1;2;2;31;6;1994;2;3;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;6;2;;3;;1;2;1
20251040;10;2025;8376989;1;3;1;10;54;1;400.0999717;54;1;2;2;5;1;2020;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;1;1;2;0;;;;;;
20251040;10;2025;8376989;1;4;1;10;54;1;400.0999717;54;1;2;1;0;10;2024;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251040;10;2025;8376990;1;1;1;10;54;1;374.08492772;54;1;1;2;59;2;1966;1;3;;3;;2;2;2;6;;;4;;;1;3;;;4;4;3;3;3;4;4;4;1;2;;3;5;;;;1;2;1
20251040;10;2025;8376990;1;2;1;10;54;1;374.08492772;54;1;2;1;37;7;1988;3;1;1;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;3;;;;2;1;1
20251040;10;2025;8376991;1;1;1;10;54;1;498.77990363;54;1;1;2;65;4;1960;1;3;;3;;1;;2;6;;;4;;;1;3;;;3;4;3;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251040;10;2025;8376991;1;2;1;10;54;1;498.77990363;54;1;2;1;38;8;1987;3;1;1;2;;2;2;2;6;;;6;;;1;3;;;4;4;2;4;4;4;4;4;1;2;;3;4;;;;2;1;1
20251040;10;2025;8376993;1;1;1;10;54;1;442.59863722;54;1;1;2;26;8;1999;1;2;;2;;2;2;2;6;;;2;1;2;1;1;1;56920;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251040;10;2025;8376993;1;2;1;10;54;1;442.59863722;54;1;2;1;21;6;2004;2;2;;2;;2;2;2;6;;;2;1;1;1;1;1;56920;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251040;10;2025;8376993;1;3;1;10;54;1;442.59863722;54;1;3;2;5;6;2020;3;1;1;2;;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;2;1;1;2;0;;;;;;
20251040;10;2025;8376994;1;1;1;10;54;1;248.9897034;54;1;1;2;58;1;1967;1;2;;3;;2;2;2;6;;;4;;;1;2;1;300000;4;4;4;4;4;4;4;4;1;2;;12;4;688;9;688;1;2;1
20251040;10;2025;8376994;1;2;1;10;54;1;248.9897034;54;1;2;2;31;11;1993;3;1;1;2;;2;2;2;6;;;6;;;1;2;1;80000;4;4;4;4;4;4;4;4;1;1;1;13;4;111;9;111;1;2;1
20251040;10;2025;8376994;1;3;1;10;54;1;248.9897034;54;1;3;2;13;1;2012;8;1;2;2;;2;2;2;6;;;6;;;1;2;5;;4;4;4;4;4;4;4;4;1;1;1;4;2;;;;;;
20251040;10;2025;8376995;1;1;1;10;54;1;336.43964977;54;1;1;1;72;5;1953;1;3;;3;;2;2;2;6;;;3;1;2;1;2;5;;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;2;1;1
20251040;10;2025;8376995;1;2;1;10;54;1;336.43964977;54;1;2;2;64;10;1960;2;2;;3;;2;2;2;6;;;3;1;1;1;2;2;576000;4;4;4;4;4;4;4;4;1;2;;11;2;111;8;111;1;2;1
20251040;10;2025;8376996;1;1;1;10;54;1;211.11865771;54;1;1;1;61;6;1964;1;3;;3;;2;2;2;6;;;2;1;2;1;1;3;178000;4;4;4;4;4;4;4;4;1;2;;10;5;719;2;;2;1;1
20251040;10;2025;8376996;1;2;1;10;54;1;211.11865771;54;1;2;2;55;2;1970;2;3;;3;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251040;10;2025;8376996;1;3;1;10;54;1;211.11865771;54;1;3;2;22;6;2003;3;1;2;3;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;2;10;2;315;2;;1;2;1
20251040;10;2025;8376997;1;1;1;10;54;1;240.68266762;54;1;1;1;70;1;1955;1;3;;3;;1;;1;6;;;3;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;2;1;1
20251040;10;2025;8376997;1;2;1;10;54;1;240.68266762;54;1;2;2;72;9;1953;2;3;;3;;1;;1;6;;;3;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;4;;;;1;2;1
20251040;10;2025;8376997;1;3;1;10;54;1;240.68266762;54;1;3;2;45;9;1980;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251040;10;2025;8376998;1;1;1;10;54;1;498.77990363;54;1;1;2;65;2;1960;1;3;;3;;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251040;10;2025;8376998;1;2;1;10;54;1;498.77990363;54;1;1;1;43;2;1982;3;1;1;2;;2;2;2;6;;;6;;;1;3;;;4;2;2;1;2;1;1;2;2;2;;1;0;;;;2;1;1
20251040;10;2025;8376999;1;1;1;10;54;1;189.34665302;54;1;1;2;81;9;1944;1;3;;3;;2;2;2;6;;;5;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;2;1
20251040;10;2025;8376999;1;2;1;10;54;1;189.34665302;54;1;2;2;55;11;1969;3;1;1;3;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251040;10;2025;8377000;1;1;1;10;54;1;498.85281112;54;1;1;1;38;8;1987;1;2;;2;;1;;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251040;10;2025;8377000;1;2;1;10;54;1;498.85281112;54;1;2;2;33;2;1992;2;2;;2;;1;;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;2;1
20251040;10;2025;8377000;1;3;1;10;54;1;498.85281112;54;1;2;2;7;4;2018;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;;;
20251040;10;2025;8377000;1;4;1;10;54;1;498.85281112;54;1;2;2;1;10;2024;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251040;10;2025;8377001;1;1;1;10;54;1;1139.380183;54;1;1;1;47;8;1978;1;2;;3;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;3;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251040;10;2025;8377001;1;2;1;10;54;1;1139.380183;54;1;2;2;37;12;1987;2;2;;3;;2;2;2;6;;;2;1;1;1;3;;;4;4;3;3;4;4;4;4;1;2;;3;5;;;;1;2;1
20251040;10;2025;8377001;1;3;1;10;54;1;1139.380183;54;1;1;2;8;1;2017;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;2;;;;;;
20251040;10;2025;8377001;1;4;1;10;54;1;1139.380183;54;1;1;2;1;12;2023;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251040;10;2025;8377002;1;1;1;10;54;1;528.80169271;54;1;1;2;54;11;1970;1;3;;3;;2;2;2;6;;;4;;;1;3;;;4;4;3;4;4;4;4;4;1;2;;3;3;;;;1;2;1
20251040;10;2025;8377002;1;2;1;10;54;1;528.80169271;54;1;2;2;35;8;1990;3;1;1;2;;2;2;2;6;;;5;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;1;;;;1;2;1
20251040;10;2025;8377002;1;3;1;10;54;1;528.80169271;54;1;3;2;16;11;2008;8;1;2;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;;;
20251040;10;2025;8377002;1;4;1;10;54;1;528.80169271;54;1;4;1;14;7;2011;8;1;2;2;;2;2;2;6;;;6;;;1;3;;;4;3;4;4;4;4;4;4;1;1;1;4;2;;;;;;
20251040;10;2025;8377002;1;5;1;10;54;1;528.80169271;54;1;2;2;7;1;2018;8;1;2;3;;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;;;
20251040;10;2025;8377002;1;6;1;10;54;1;528.80169271;54;1;6;1;52;2;1973;13;3;;3;;2;2;2;6;;;4;;;1;3;;;3;4;4;2;3;4;4;4;1;2;;3;3;;;;2;1;1
20251040;10;2025;8377004;1;1;1;10;54;1;498.77990363;54;1;1;1;30;8;1995;1;1;2;3;;2;2;2;6;;;6;;;1;1;1;57000;4;4;4;4;4;4;4;4;1;2;;8;4;713;5;713;2;1;1
20251040;10;2025;8377004;1;2;1;10;54;1;498.77990363;54;1;2;2;72;11;1952;4;3;;3;;2;2;2;6;;;5;;;1;3;;;4;4;4;2;4;4;4;4;1;2;;3;4;;;;1;2;1
20251040;10;2025;8377005;1;1;1;10;54;1;273.13437233;54;1;1;1;63;6;1962;1;2;;3;;1;;2;6;;;3;1;2;2;;;;4;4;4;3;4;4;4;4;1;2;;3;3;;;;2;1;1
20251040;10;2025;8377005;1;2;1;10;54;1;273.13437233;54;1;2;2;51;10;1973;2;2;;2;;1;;2;6;;;3;1;1;2;;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251040;10;2025;8377005;1;3;1;10;54;1;273.13437233;54;1;3;2;18;8;2007;3;1;2;1;1;2;2;2;6;;;6;;;2;;;;4;4;4;4;4;4;4;4;1;2;;4;3;;;;1;2;1
