PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20251044;10;2025;8374095;1;1;1;10;;2;36.09714248;08;1;1;2;34;9;1991;1;2;;2;;2;2;2;6;;;2;1;2;1;1;1;40000;4;4;4;4;4;4;4;4;1;2;;8;2;416;5;416;1;2;1
20251044;10;2025;8374095;1;2;1;10;;2;36.09714248;08;1;2;1;30;10;1995;2;3;;2;;1;;1;6;;;2;1;1;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374095;1;3;1;10;;2;36.09714248;08;1;3;1;7;2;2018;3;1;1;2;;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;2;;;;;;
20251044;10;2025;8374096;1;1;1;10;;2;20.425814514;08;1;1;2;34;2;1991;1;1;6;2;;2;2;2;6;;;2;1;2;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374096;1;2;1;10;;2;20.425814514;08;1;2;1;32;8;1993;2;2;;2;;2;2;2;6;;;2;1;1;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;8;4;729;5;729;2;1;1
20251044;10;2025;8374096;1;3;1;10;;2;20.425814514;08;1;1;1;16;8;2009;3;1;1;2;;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;5;0;;1;;;;
20251044;10;2025;8374096;1;4;1;10;;2;20.425814514;08;1;1;2;13;5;2012;3;1;1;2;;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;
20251044;10;2025;8374096;1;5;1;10;;2;20.425814514;08;1;1;2;2;9;2023;3;1;1;1;2;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251044;10;2025;8374096;1;6;1;10;;2;20.425814514;08;1;6;2;63;8;1962;4;2;;2;;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374097;1;1;1;10;;2;32.408368672;08;1;1;1;26;10;1999;1;2;;2;;2;2;2;6;;;2;1;2;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374097;1;2;1;10;;2;32.408368672;08;1;2;2;25;3;2000;2;2;;2;;2;2;2;6;;;2;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374097;1;3;1;10;;2;32.408368672;08;1;2;2;1;10;2023;3;1;2;1;1;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251044;10;2025;8374098;1;1;1;10;;2;34.265640431;08;1;1;2;36;6;1989;1;3;;3;;2;2;2;5;;;2;1;2;1;1;1;80000;4;4;4;4;4;4;4;4;1;2;;10;10;411;7;411;1;2;1
20251044;10;2025;8374098;1;2;1;10;;2;34.265640431;08;1;2;1;42;11;1982;2;2;;3;;2;2;9;6;;;2;1;1;1;1;1;150000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374098;1;3;1;10;;2;34.265640431;08;1;3;2;22;7;2003;3;2;;1;2;2;2;2;6;;;6;;;1;1;5;;4;4;2;4;4;4;4;4;1;1;2;8;4;411;5;411;1;2;1
20251044;10;2025;8374098;1;4;1;10;;2;34.265640431;08;1;4;2;10;6;2015;3;1;1;1;2;2;2;2;5;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;3;2;;;;;;
20251044;10;2025;8374099;1;1;1;10;;2;32.213823136;08;1;1;1;40;12;1984;1;2;;3;;1;;2;5;;;2;1;2;1;1;1;100000;4;4;4;3;4;4;4;4;1;2;;10;9;411;2;;2;1;1
20251044;10;2025;8374099;1;2;1;10;;2;32.213823136;08;1;2;2;43;6;1982;2;2;;2;;1;;2;5;;;2;1;1;1;1;5;;4;4;3;4;4;4;4;4;1;2;;8;4;916;5;916;1;2;1
20251044;10;2025;8374099;1;3;1;10;;2;32.213823136;08;1;2;2;13;9;2012;3;1;2;1;1;1;;2;5;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;
20251044;10;2025;8374099;1;4;1;10;;2;32.213823136;08;1;2;2;12;8;2013;3;1;2;1;1;1;;2;5;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;0;;;;;;
20251044;10;2025;8374099;1;5;1;10;;2;32.213823136;08;1;2;1;8;7;2017;3;1;2;1;1;1;;2;5;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;0;;;;;;
20251044;10;2025;8374100;1;1;1;10;;2;30.121238976;08;1;1;1;52;5;1973;1;2;;2;;2;2;2;6;;;3;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374100;1;2;1;10;;2;30.121238976;08;1;2;2;50;8;1975;2;2;;2;;2;2;2;6;;;3;1;1;1;3;;;4;4;4;3;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374100;1;3;1;10;;2;30.121238976;08;1;3;2;23;5;2002;3;1;2;1;1;2;2;2;6;;;6;;;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;9;4;416;6;416;1;2;1
20251044;10;2025;8374100;1;4;1;10;;2;30.121238976;08;1;4;2;41;2;1984;9;2;;2;;2;2;2;6;;;6;;;1;1;1;83446;4;4;4;4;4;4;4;4;1;2;;10;10;413;7;413;1;2;1
20251044;10;2025;8374101;1;1;1;10;;2;37.954414239;08;1;1;1;39;9;1986;1;2;;2;;2;2;2;6;;;3;1;2;1;1;3;187000;4;4;4;4;4;4;4;4;1;2;;10;10;411;7;411;2;1;1
20251044;10;2025;8374101;1;2;1;10;;2;37.954414239;08;1;2;2;47;9;1978;2;2;;2;;2;2;2;6;;;3;1;1;1;1;5;;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374101;1;3;1;10;;2;37.954414239;08;1;3;2;16;8;2009;3;1;2;1;1;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;4;4;;;;;;
20251044;10;2025;8374101;1;4;1;10;;2;37.954414239;08;1;4;1;14;8;2011;3;1;2;1;1;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;4;2;;;;;;
20251044;10;2025;8374102;1;1;1;10;;2;20.523533547;08;1;1;1;61;10;1963;1;3;;3;;2;1;2;6;;;3;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251044;10;2025;8374102;1;2;1;10;;2;20.523533547;08;1;2;2;60;7;1965;2;2;;3;;2;2;2;6;;;3;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251044;10;2025;8374103;1;1;1;10;;2;34.710194996;08;1;1;1;45;5;1980;1;3;;3;;2;2;2;6;;;2;1;2;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;3;4;;;;2;1;1
20251044;10;2025;8374103;1;2;1;10;;2;34.710194996;08;1;2;2;44;10;1981;2;2;;2;;2;2;2;6;;;2;1;1;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;8;4;913;5;913;1;2;1
20251044;10;2025;8374103;1;3;1;10;;2;34.710194996;08;1;3;1;22;2;2003;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374104;1;1;1;10;;2;24.380647874;08;1;1;1;41;5;1984;1;2;;2;;1;;2;6;;;2;1;2;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;8;3;613;5;613;2;1;1
20251044;10;2025;8374104;1;2;1;10;;2;24.380647874;08;1;2;2;31;6;1994;2;2;;2;;1;;1;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;9;4;729;6;729;1;2;1
20251044;10;2025;8374104;1;3;1;10;;2;24.380647874;08;1;2;2;7;1;2018;3;1;2;1;1;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;3;1;;;;;;
20251044;10;2025;8374104;1;4;1;10;;2;24.380647874;08;1;2;2;3;12;2021;3;1;2;1;1;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;2;1;2;2;0;;;;;;
20251044;10;2025;8374104;1;5;1;10;;2;24.380647874;08;1;5;2;26;1;1999;9;2;;2;;1;;2;6;;;6;;;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;8;3;288;5;288;3;2;1
20251044;10;2025;8374105;1;1;1;10;;2;113.44359465;63;1;1;2;49;11;1975;1;3;;3;;2;1;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251044;10;2025;8374106;1;1;1;10;;2;163.42353174;63;1;1;2;77;4;1948;1;3;;3;;1;;1;6;;;2;1;2;1;3;;;4;4;4;3;4;4;4;4;1;2;;3;1;;;;1;2;1
20251044;10;2025;8374106;1;2;1;10;;2;163.42353174;63;1;2;1;88;8;1937;2;3;;3;;1;;1;6;;;2;1;1;1;1;2;78000;3;4;3;3;2;3;4;4;1;2;;3;5;;;;2;1;1
20251044;10;2025;8374107;1;1;1;10;;2;174.37650303;63;1;1;1;28;11;1996;1;2;;2;;2;2;1;6;;;2;1;2;1;1;1;57000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374107;1;2;1;10;;2;174.37650303;63;1;2;2;26;1;1999;2;2;;3;;2;2;1;6;;;2;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;10;0;1022;2;;1;2;1
20251044;10;2025;8374107;1;3;1;10;;2;174.37650303;63;1;2;1;0;1;2025;3;1;2;1;1;2;2;1;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251044;10;2025;8374108;1;1;1;10;;2;305.27164591;63;1;1;2;49;3;1976;1;3;;3;;2;2;2;6;;;4;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374108;1;2;1;10;;2;305.27164591;63;1;2;1;28;6;1997;3;1;1;2;;2;2;2;6;;;6;;;1;1;1;57000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374108;1;3;1;10;;2;305.27164591;63;1;3;2;25;7;2000;3;1;1;2;;2;2;2;6;;;1;1;4;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374108;1;4;1;10;;2;305.27164591;63;1;4;1;24;10;2000;7;2;;2;;2;2;2;6;;;1;1;3;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;7;613;3;;2;1;1
20251044;10;2025;8374108;1;5;1;10;;2;305.27164591;63;1;5;1;8;6;2017;8;1;3;2;;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;;;
20251044;10;2025;8374108;1;6;1;10;;2;305.27164591;63;1;3;2;0;1;2025;8;1;3;1;4;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251044;10;2025;8374109;1;1;1;10;;2;113.44359465;63;1;1;2;51;10;1974;1;2;;3;;1;;1;6;;;4;;;1;3;;;4;4;4;3;4;4;4;4;1;2;;3;5;;;;1;2;1
20251044;10;2025;8374109;1;2;1;10;;2;113.44359465;63;1;2;1;31;10;1993;3;1;1;2;;1;;1;6;;;1;1;3;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374109;1;3;1;10;;2;113.44359465;63;1;3;2;28;11;1996;7;2;;2;;1;;2;6;;;1;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374110;1;1;1;10;;2;113.44359465;63;1;1;2;64;7;1961;1;3;;3;;1;;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251044;10;2025;8374111;1;1;1;10;;2;113.44359465;63;1;1;2;75;7;1950;1;3;;3;;1;;1;6;;;4;;;1;3;;;4;4;2;3;3;4;4;4;1;2;;3;2;;;;1;2;1
20251044;10;2025;8374112;1;1;1;10;;2;309.35392168;63;1;1;1;53;2;1972;1;3;;3;;1;;1;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251044;10;2025;8374112;1;2;1;10;;2;309.35392168;63;1;2;2;50;1;1975;2;2;;3;;1;;1;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;2;;;;1;2;1
20251044;10;2025;8374112;1;3;1;10;;2;309.35392168;63;1;3;1;29;4;1996;3;1;2;1;1;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251044;10;2025;8374112;1;4;1;10;;2;309.35392168;63;1;4;2;23;7;2002;3;1;2;1;1;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;3;;;;1;2;1
20251044;10;2025;8374112;1;5;1;10;;2;309.35392168;63;1;4;2;7;3;2018;8;1;4;3;;1;;1;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;2;;;;;;
20251044;10;2025;8374113;1;1;1;10;;2;113.44359465;63;1;1;2;75;4;1950;1;3;;3;;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;1;2;1
20251044;10;2025;8374114;1;1;1;10;;2;113.44359465;63;1;1;2;61;11;1963;1;2;;3;;1;;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251044;10;2025;8374114;1;2;1;10;;2;113.44359465;63;1;2;2;26;8;1999;3;1;1;2;;2;2;1;6;;;6;;;1;1;1;72000;4;4;4;4;4;4;4;4;1;2;;8;4;841;5;841;1;2;1
20251044;10;2025;8374115;1;1;1;10;;2;196.44409824;63;1;1;2;20;10;2004;1;2;;2;;2;2;1;6;;;2;1;2;1;1;5;;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374115;1;2;1;10;;2;196.44409824;63;1;2;1;25;8;2000;2;2;;2;;1;;1;6;;;2;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251044;10;2025;8374116;1;1;1;10;;2;234.63808905;63;1;1;2;59;5;1966;1;3;;3;;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;1;2;1
20251044;10;2025;8374116;1;2;1;10;;2;234.63808905;63;1;1;1;2;12;2022;8;2;;1;3;1;;1;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251044;10;2025;8374116;1;3;1;10;;2;234.63808905;63;1;3;1;24;12;2000;7;2;;2;;2;2;2;6;;;2;2;;1;1;4;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374117;1;1;1;10;;2;293.51456432;63;1;1;1;75;9;1950;1;3;;3;;1;;1;6;;;3;1;2;2;;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;2;1;1
20251044;10;2025;8374117;1;2;1;10;;2;293.51456432;63;1;2;2;67;8;1958;2;3;;3;;1;;1;6;;;3;1;1;2;;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;2;1
20251044;10;2025;8374117;1;3;1;10;;2;293.51456432;63;1;3;1;46;12;1978;3;1;2;1;1;1;;1;6;;;6;;;1;1;1;57000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374118;1;1;1;10;;2;264.91238648;63;1;1;1;36;12;1988;1;2;;2;;2;2;1;6;;;3;1;2;1;3;;;4;4;2;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374118;1;2;1;10;;2;264.91238648;63;1;2;2;42;10;1982;2;2;;2;;2;1;1;6;;;3;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374118;1;3;1;10;;2;264.91238648;63;1;3;2;16;10;2009;3;1;2;2;;2;2;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;6;0;;1;;;;
20251044;10;2025;8374118;1;4;1;10;;2;264.91238648;63;1;4;1;8;7;2017;3;1;2;1;1;2;2;1;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;;;
20251044;10;2025;8374119;1;1;1;10;;2;160.56264788;63;1;1;1;44;12;1980;1;2;;3;;1;;1;1;500_01;;3;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;4;;;;2;1;1
20251044;10;2025;8374119;1;2;1;10;;2;160.56264788;63;1;2;2;41;3;1984;2;2;;2;;1;;1;1;500_01;;3;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251044;10;2025;8374120;1;1;1;10;;2;348.99999862;63;1;1;1;36;5;1989;1;2;;2;;2;2;2;6;;;1;1;2;1;1;1;57000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374120;1;2;1;10;;2;348.99999862;63;1;2;2;28;2;1997;2;2;;2;;2;2;2;6;;;1;1;1;1;1;1;57000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374120;1;3;1;10;;2;348.99999862;63;1;3;2;14;12;2010;3;1;2;2;;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;5;0;;1;;;;
20251044;10;2025;8374120;1;4;1;10;;2;348.99999862;63;1;2;1;4;12;2020;3;1;2;2;;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;1;1;2;0;;;;;;
20251044;10;2025;8374121;1;1;1;10;;2;226.71525169;63;1;1;1;65;3;1960;1;3;;3;;1;;1;6;;;4;;;1;3;;;4;4;3;4;4;4;4;4;1;2;;3;1;;;;2;1;1
20251044;10;2025;8374122;1;1;1;10;;2;337.32295017;63;1;1;1;67;2;1958;1;3;;3;;1;;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;2;1;1
20251044;10;2025;8374122;1;2;1;10;;2;337.32295017;63;1;2;1;21;11;2003;13;2;;2;;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;2;1;1
20251044;10;2025;8374123;1;1;1;10;;2;224.98631873;63;1;1;1;65;11;1959;1;3;;3;;1;;1;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374123;1;2;1;10;;2;224.98631873;63;1;2;2;57;7;1968;2;3;;3;;1;;1;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;2;1
20251044;10;2025;8374125;1;1;1;10;;2;252.99925444;63;1;1;2;59;9;1966;1;3;;3;;1;;1;6;;;5;;;1;1;2;56940;4;4;4;4;4;4;4;4;1;2;;3;3;;;;1;2;1
20251044;10;2025;8374125;1;2;1;10;;2;252.99925444;63;1;2;1;18;5;2007;3;1;1;3;;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;2;1;1
20251044;10;2025;8374126;1;1;1;10;;2;168.30777468;63;1;1;1;49;10;1975;1;2;;2;;2;1;1;6;;;3;1;2;1;2;1;260000;4;4;4;4;4;4;4;4;1;2;;12;4;111;9;111;2;1;1
20251044;10;2025;8374126;1;2;1;10;;2;168.30777468;63;1;2;2;45;6;1980;2;2;;2;;1;;1;6;;;3;1;1;1;2;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374126;1;3;1;10;;2;168.30777468;63;1;3;2;63;8;1962;9;3;;3;;1;;1;5;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;415;5;415;1;2;1
20251044;10;2025;8374127;1;1;1;10;;2;226.71525169;63;1;1;1;57;3;1968;1;3;;3;;1;;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251044;10;2025;8374129;1;1;1;10;;2;294.58287864;63;1;1;1;83;10;1942;1;3;;3;;1;;1;6;;;3;1;2;1;3;;;4;4;3;4;4;4;4;4;2;2;;1;0;;;;2;1;1
20251044;10;2025;8374129;1;2;1;10;;2;294.58287864;63;1;2;2;76;4;1949;2;3;;3;;1;;1;6;;;3;1;1;1;3;;;4;4;3;2;2;4;3;4;1;2;;3;2;;;;1;2;1
20251044;10;2025;8374129;1;3;1;10;;2;294.58287864;63;1;3;2;25;6;2000;8;2;;2;;1;;1;6;;;3;2;;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;819;5;819;1;2;1
20251044;10;2025;8374129;1;4;1;10;;2;294.58287864;63;1;4;2;7;7;2018;13;1;3;2;;1;;1;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;;;
20251044;10;2025;8374130;1;1;1;10;;2;226.71525169;63;1;1;1;71;8;1954;1;3;;3;;1;;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251044;10;2025;8374131;1;1;1;10;;2;262.5123967;63;1;1;1;72;4;1953;1;3;;3;;1;;1;6;;;4;;;1;3;;;2;4;4;4;4;4;4;4;1;2;;3;2;;;;2;1;1
20251044;10;2025;8374132;1;1;1;10;;2;262.5123967;63;1;1;1;66;12;1958;1;2;;3;;1;;1;6;;;3;2;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251044;10;2025;8374133;1;1;1;10;;2;487.12827566;63;1;1;1;43;8;1982;1;2;;3;;1;;1;6;;;2;1;2;1;1;1;56840;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251044;10;2025;8374133;1;2;1;10;;2;487.12827566;63;1;2;2;35;5;1990;2;2;;2;;1;;1;6;;;2;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251044;10;2025;8374133;1;3;1;10;;2;487.12827566;63;1;3;1;18;3;2007;3;1;2;1;1;1;;1;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;4;;;;2;1;1
20251044;10;2025;8374133;1;4;1;10;;2;487.12827566;63;1;4;1;14;8;2011;3;1;2;1;1;1;;1;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;3;;;;;;
20251044;10;2025;8374133;1;5;1;10;;2;487.12827566;63;1;5;1;9;9;2016;3;1;2;1;1;1;;1;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;4;;;;;;
20251044;10;2025;8374134;1;1;1;10;;2;341.59627177;63;1;1;1;64;9;1961;1;2;;3;;1;;1;6;;;3;1;2;1;3;;;4;4;3;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251044;10;2025;8374134;1;2;1;10;;2;341.59627177;63;1;2;2;65;6;1960;2;2;;2;;1;;1;6;;;3;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251044;10;2025;8374134;1;3;1;10;;2;341.59627177;63;1;3;1;12;2;2013;8;2;;2;;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;2;;;;;;
20251044;10;2025;8374135;1;1;1;10;;2;262.5123967;63;1;1;1;64;2;1961;1;3;;3;;1;;1;6;;;4;;;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;4;1;;;;2;1;1
20251044;10;2025;8374136;1;1;1;10;;2;262.5123967;63;1;1;1;64;4;1961;1;3;;3;;1;;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;2;;;;2;1;1
20251044;10;2025;8374138;1;1;1;10;;2;262.5123967;63;1;1;1;56;2;1969;1;3;;3;;1;;1;6;;;4;;;1;3;;;3;4;3;4;4;4;4;4;1;2;;3;2;;;;2;1;1
20251044;10;2025;8374139;1;1;1;10;;2;296.28661073;63;1;1;1;54;7;1971;1;2;;3;;1;;1;6;;;3;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;2;1;1
20251044;10;2025;8374139;1;2;1;10;;2;296.28661073;63;1;2;2;49;4;1976;2;2;;3;;1;;1;6;;;3;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;1;2;1
20251044;10;2025;8374139;1;3;1;10;;2;296.28661073;63;1;3;1;25;10;2000;3;1;2;1;1;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374140;1;1;1;10;;2;313.14795774;63;1;1;1;35;4;1990;1;2;;3;;1;;1;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;2;1;1
20251044;10;2025;8374140;1;2;1;10;;2;313.14795774;63;1;2;2;21;2;2004;2;2;;2;;2;1;1;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;1;;;;1;2;1
20251044;10;2025;8374141;1;1;1;10;;2;2118.4068692;05;1;1;2;65;8;1960;1;3;;3;;1;;1;6;;;3;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;3;4;;;;1;2;1
20251044;10;2025;8374141;1;2;1;10;;2;2118.4068692;05;1;1;1;64;3;1961;2;3;;3;;1;;1;6;;;3;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251044;10;2025;8374141;1;3;1;10;;2;2118.4068692;05;1;1;2;36;12;1988;3;1;1;1;2;1;;1;6;;;6;;;1;1;1;56000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374141;1;4;1;10;;2;2118.4068692;05;1;1;1;0;10;2024;8;1;3;2;;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251044;10;2025;8374143;1;1;1;10;;2;1897.0088338;05;1;2;1;38;5;1987;1;2;;2;;2;2;2;6;;;2;1;2;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251044;10;2025;8374143;1;2;1;10;;2;1897.0088338;05;1;2;2;37;1;1988;2;2;;2;;2;2;2;6;;;2;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251044;10;2025;8374143;1;3;1;10;;2;1897.0088338;05;1;2;2;20;10;2005;3;1;2;1;1;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;10;1;613;2;;1;2;1
20251044;10;2025;8374144;1;1;1;10;;2;1532.2477654;05;1;1;2;47;10;1977;1;2;;3;;1;;1;6;;;3;1;2;1;1;1;56940;4;4;4;3;4;4;4;4;1;2;;8;4;415;5;415;1;2;1
20251044;10;2025;8374144;1;2;1;10;;2;1532.2477654;05;1;1;1;47;3;1978;2;3;;3;;2;2;2;6;;;3;1;1;1;1;1;100000;4;4;4;4;4;4;4;4;1;1;1;10;7;713;6;714;2;1;1
